-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,359,360,364,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,363,356,363,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
359,360,360,364,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,359,360,374,297,366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
356,356,356,363,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,363,356,297,297,366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
297,297,297,366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,359,360,369,370,360,360,374,390,391,297,366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
390,391,297,366,-1,-1,-1,-1,-1,-1,359,360,360,360,360,360,360,356,356,372,373,356,356,297,392,393,297,366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
392,393,297,366,-1,-1,359,360,360,360,356,356,356,356,356,356,356,297,297,297,297,297,297,297,297,297,297,368,360,360,360,369,370,360,360,360,364,-1,-1,-1,-1,-1,-1,-1
297,297,297,366,-1,-1,363,356,356,356,297,297,297,395,297,297,297,297,297,297,297,395,297,297,297,297,297,297,356,356,356,372,373,356,356,356,363,360,360,360,369,370,360,360
297,297,297,366,-1,-1,388,297,297,297,297,297,297,297,297,297,390,391,297,297,297,297,297,297,297,379,380,381,297,297,297,297,297,297,297,297,297,356,356,356,372,373,356,356
297,297,297,366,397,397,388,297,297,297,297,297,297,297,297,297,392,393,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,379,380,381,297,297,297,297,297,297,297,297
